transaction_id,customer_id,product_id,transaction_date,product_name,category,quantity,unit_price,total_amount,cost_price,profit,customer_segment,acquisition_channel,region,age_group,payment_method,sales_rep,registration_date,month_year,quarter,day_of_week,customer_lifetime_days
11552,1182,28,1/1/23,Art Supplies,Beauty,2,25.97,51.94,18.83,14.28,Occasional,Referral,West,56+,Credit Card,Carol Davis,8/16/23,2023-01,2023Q1,Sunday,-227
8113,118,41,1/1/23,Aromatherapy Diffuser,Clothing,1,35.3,35.3,23.17,12.13,Frequent,Direct,North,36-45,Credit Card,Alice Johnson,10/19/23,2023-01,2023Q1,Sunday,-291
6543,416,11,1/1/23,Backpack,Beauty,3,12.89,38.67,10.69,6.6,Frequent,Referral,South,56+,Cash,Bob Smith,5/14/23,2023-01,2023Q1,Sunday,-133
11439,1600,34,1/1/23,Bike Helmet,Books,3,8.14,24.42,4.55,10.77,Premium,Social Media,Central,56+,Cash,Bob Smith,9/27/23,2023-01,2023Q1,Sunday,-269
1245,2290,20,1/1/23,Resistance Bands,Clothing,3,6.51,19.53,3.95,7.68,Premium,Social Media,West,46-55,Debit Card,Alice Johnson,12/6/23,2023-01,2023Q1,Sunday,-339
6519,2255,33,1/1/23,Air Purifier,Sports,1,17.87,17.87,9.89,7.98,Frequent,Direct,West,26-35,PayPal,Emma Brown,12/1/23,2023-01,2023Q1,Sunday,-334
7627,143,27,1/1/23,Hiking Boots,Beauty,2,7.27,14.54,6.14,2.26,Frequent,Search Engine,South,36-45,PayPal,Carol Davis,11/28/23,2023-01,2023Q1,Sunday,-331
656,1440,2,1/1/23,Smart Watch,Electronics,2,18.28,36.56,14.07,8.42,Occasional,Direct,North,18-25,Cash,Alice Johnson,4/11/23,2023-01,2023Q1,Sunday,-100
9774,482,20,1/1/23,Resistance Bands,Clothing,3,5.88,17.64,3.95,5.79,Frequent,Search Engine,West,56+,Cash,Carol Davis,6/24/23,2023-01,2023Q1,Sunday,-174
2331,556,31,1/1/23,Wireless Earbuds,Sports,1,11.06,11.06,8.44,2.62,Occasional,Direct,Central,26-35,Debit Card,Bob Smith,11/29/23,2023-01,2023Q1,Sunday,-332
5726,1840,31,1/1/23,Wireless Earbuds,Sports,3,9.69,29.07,8.44,3.75,Budget Conscious,Referral,South,46-55,Cash,Alice Johnson,6/8/23,2023-01,2023Q1,Sunday,-158
6769,2115,36,1/1/23,Face Mask Set,Automotive,4,7.64,30.56,5.46,8.72,Premium,Direct,North,56+,Cash,Carol Davis,12/11/23,2023-01,2023Q1,Sunday,-344
13418,1258,13,1/1/23,Fitness Tracker,Books,2,19.99,39.98,15.11,9.76,Budget Conscious,Direct,South,36-45,Credit Card,Emma Brown,7/12/23,2023-01,2023Q1,Sunday,-192
5906,1962,5,1/1/23,Running Shoes,Home & Garden,1,13.9,13.9,12.85,1.05,Frequent,Direct,Central,18-25,Debit Card,Bob Smith,8/29/23,2023-01,2023Q1,Sunday,-240
1756,973,21,1/1/23,Essential Oils,Clothing,3,68.5,205.5,49.04,58.38,Premium,Email,Central,46-55,Credit Card,Alice Johnson,7/3/23,2023-01,2023Q1,Sunday,-183
14393,1526,45,1/1/23,Protein Bar,Home & Garden,1,4.87,4.87,3.66,1.21,Budget Conscious,Referral,East,26-35,Cash,Alice Johnson,7/17/23,2023-01,2023Q1,Sunday,-197
3004,2293,21,1/1/23,Essential Oils,Clothing,3,66.55,199.65,49.04,52.53,Frequent,Search Engine,Central,36-45,Cash,Bob Smith,4/24/23,2023-01,2023Q1,Sunday,-113
11312,23,39,1/1/23,Blender,Automotive,2,6.95,13.9,5.7,2.5,Occasional,Direct,West,36-45,Debit Card,Carol Davis,8/9/23,2023-01,2023Q1,Sunday,-220
10909,1647,38,1/1/23,Succulent Plant,Electronics,2,4.05,8.1,2.83,2.44,Occasional,Search Engine,East,36-45,Credit Card,David Wilson,3/4/23,2023-01,2023Q1,Sunday,-62
9159,1507,24,1/1/23,LED Strip Lights,Electronics,3,5.36,16.08,4.25,3.33,Budget Conscious,Search Engine,West,46-55,Debit Card,Alice Johnson,6/16/23,2023-01,2023Q1,Sunday,-166
10349,1974,15,1/1/23,Notebook Set,Books,2,4.96,9.92,4.07,1.78,Premium,Direct,East,56+,Cash,Alice Johnson,7/11/23,2023-01,2023Q1,Sunday,-191
2432,2462,20,1/1/23,Resistance Bands,Clothing,2,4.49,8.98,3.95,1.08,Budget Conscious,Direct,South,18-25,Credit Card,Alice Johnson,1/1/24,2023-01,2023Q1,Sunday,-365
11708,1413,10,1/1/23,Water Bottle,Electronics,2,31.62,63.24,23.43,16.38,Occasional,Email,West,36-45,Cash,David Wilson,5/20/23,2023-01,2023Q1,Sunday,-139
3809,512,19,1/1/23,Kitchen Scale,Electronics,-1,9.6,-9.6,5.85,-3.75,Frequent,Direct,East,36-45,Debit Card,Emma Brown,2/13/23,2023-01,2023Q1,Sunday,-43
1259,1886,22,1/1/23,Car Phone Mount,Books,3,14.47,43.41,12.11,7.08,Occasional,Referral,South,26-35,Cash,Emma Brown,6/14/23,2023-01,2023Q1,Sunday,-164
11997,327,44,1/1/23,Smart Bulb,Home & Garden,2,12.76,25.52,8.16,9.2,Budget Conscious,Social Media,Central,36-45,Cash,Alice Johnson,11/19/23,2023-01,2023Q1,Sunday,-322
9316,1876,13,1/1/23,Fitness Tracker,Books,1,18.41,18.41,15.11,3.3,Budget Conscious,Referral,East,56+,Cash,Carol Davis,10/4/23,2023-01,2023Q1,Sunday,-276
13827,1998,10,1/1/23,Water Bottle,Electronics,3,29.07,87.21,23.43,16.92,Premium,Email,West,56+,Debit Card,Bob Smith,1/30/23,2023-01,2023Q1,Sunday,-29
8597,792,23,1/1/23,Throw Pillow,Books,1,18.78,18.78,17.25,1.53,Frequent,Email,Central,56+,Cash,Carol Davis,7/25/23,2023-01,2023Q1,Sunday,-205
10846,182,40,1/1/23,Dumbbells,Automotive,-3,17.53,-52.59,13.64,-11.67,Budget Conscious,Email,South,46-55,Credit Card,Emma Brown,4/25/23,2023-01,2023Q1,Sunday,-114
7578,2453,5,1/1/23,Running Shoes,Home & Garden,2,15.81,31.62,12.85,5.92,Occasional,Search Engine,South,26-35,PayPal,David Wilson,11/27/23,2023-01,2023Q1,Sunday,-330
3734,2461,44,1/1/23,Smart Bulb,Home & Garden,4,13.48,53.92,8.16,21.28,Frequent,Social Media,West,56+,Credit Card,Carol Davis,2/2/23,2023-01,2023Q1,Sunday,-32
